Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Bar Staff,bar-staff,57dfdc7c25c4cdeb03119666,57dfdc89813bf6950b07e192,Mon Sep 19 2016 12:39:37 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2016 12:39:37 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2016 12:41:13 GMT+0000 (Coordinated Universal Time)
Barista,barista,57dfdc7c25c4cdeb03119666,57dfdc83b08345807bdb8006,Mon Sep 19 2016 12:39:31 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2016 12:39:31 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2016 12:41:13 GMT+0000 (Coordinated Universal Time)
Chef,chef,57dfdc7c25c4cdeb03119666,57dfdc90813bf6950b07e20f,Mon Sep 19 2016 12:39:44 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2016 12:39:44 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2016 12:41:13 GMT+0000 (Coordinated Universal Time)
Front of House,front-of-house,57dfdc7c25c4cdeb03119666,57f69edfe521b22353c092d1,Thu Oct 06 2016 18:58:39 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2016 18:58:39 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2016 18:59:11 GMT+0000 (Coordinated Universal Time)
Kitchen Hand,kitchen-hand,57dfdc7c25c4cdeb03119666,57f69ee44be5076068302450,Thu Oct 06 2016 18:58:44 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2016 18:58:44 GMT+0000 (Coordinated Universal Time),Thu Oct 06 2016 18:59:11 GMT+0000 (Coordinated Universal Time)
